,Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
209,Sierra Leone,"7,766",126                                ,N/A,N/A,,,"259,958","8,306,436 "
210,Chad,"7,701",194                                ,"4,874","2,633",,,"191,341","17,413,580 "
211,British Virgin Islands,"7,305",64                                ,N/A,N/A,,,"107,339","30,596 "
212,Cook Islands,"7,168",2                                ,"7,150",16,,,"19,690","17,571 "
213,Turks and Caicos,"6,662",40                                ,"6,602",20,,,"615,226","39,741 "
214,Saint Kitts and Nevis,"6,607",48                                ,"6,559",0,,,"126,958","53,871 "
215,Sao Tome and Principe,"6,605",80                                ,"6,523",2,+2,,"29,085","227,679 "
216,Palau,"6,248",9                                ,"6,238",1,,,"70,874","18,233 "
217,St. Barth,"5,507",6                                ,N/A,N/A,,,"78,646","9,945 "
218,Nauru,"5,393",1                                ,"5,347",45,,,"20,509","10,903 "
219,Kiribati,"5,085",24                                ,"2,703","2,358",,,,"123,419 "
220,Anguilla,"3,904",12                                ,"3,879",13,,,"51,382","15,230 "
221,Wallis and Futuna,"3,550",8                                ,438,"3,104",,,"20,508","10,982 "
222,Saint Pierre Miquelon,"3,452",2                                ,"2,449","1,001",,,"25,400","5,759 "
223,Tuvalu,"2,943",1                                ,,"2,942",,,,"12,066 "
224,Saint Helena,"2,166", ,2,"2,164",,,,"6,115 "
225,Falkland Islands,"1,930", ,"1,930",0,,,"8,632","3,539 "
226,Montserrat,"1,403",8                                ,"1,376",19,,,"17,762","4,965 "
227,Niue,889, ,889,0,,,,"1,622 "
228,Diamond Princess,712,13                                ,699,0,,,, 
229,Tokelau,80, ,,80,,,,"1,378 "
230,Vatican City,29, ,29,0,,,,799 
231,Western Sahara,10,1                                ,9,0,,,,"626,161 "
232,MS Zaandam,9,2                                ,7,0,,,, 
233,Total:,"697,756,675","6,937,920","669,456,103","21,362,652","+46,690",+87,,
